ts,symbol,close,quote_volume
2026-03-02T15:00:00+00:00,ETHUSDT,2046.39,2573445402.80503
2026-03-02T15:00:00+00:00,SOLUSDT,88.74,496834573.3036
2026-03-02T16:00:00+00:00,BTCUSDT,69395.6,2393757525.9798
2026-03-02T16:00:00+00:00,ETHUSDT,2063.35,1665869461.86245
2026-03-02T16:00:00+00:00,SOLUSDT,88.82,358682244.3692
2026-03-02T17:00:00+00:00,BTCUSDT,69170.3,1036395117.2995
2026-03-02T17:00:00+00:00,ETHUSDT,2040.12,832287234.73069
2026-03-02T17:00:00+00:00,SOLUSDT,87.57,242051290.5585
2026-03-02T18:00:00+00:00,BTCUSDT,68853.8,686174118.7061
2026-03-02T18:00:00+00:00,ETHUSDT,2028.33,406665558.10544
2026-03-02T18:00:00+00:00,SOLUSDT,87.28,111908498.7414
2026-03-02T19:00:00+00:00,BTCUSDT,68928.4,682784533.974
2026-03-02T19:00:00+00:00,ETHUSDT,2042.44,479323775.177
2026-03-02T19:00:00+00:00,SOLUSDT,87.62,93263244.8662
2026-03-02T20:00:00+00:00,BTCUSDT,69054.2,792407377.0701
2026-03-02T20:00:00+00:00,ETHUSDT,2034.17,613013874.26282
2026-03-02T20:00:00+00:00,SOLUSDT,87.5,112956198.9874
2026-03-02T21:00:00+00:00,BTCUSDT,69366.9,341067607.6381
2026-03-02T21:00:00+00:00,ETHUSDT,2042.12,213318740.17981
2026-03-02T21:00:00+00:00,SOLUSDT,87.49,75965204.3616
2026-03-02T22:00:00+00:00,BTCUSDT,69414.2,306837317.0374
2026-03-02T22:00:00+00:00,ETHUSDT,2052.99,230980391.70465
2026-03-02T22:00:00+00:00,SOLUSDT,87.98,56138784.4326
2026-03-02T23:00:00+00:00,BTCUSDT,68801.8,478520370.5729
2026-03-02T23:00:00+00:00,ETHUSDT,2026.69,313264572.03378
2026-03-02T23:00:00+00:00,SOLUSDT,86.59,104956793.6296
2026-03-03T00:00:00+00:00,BTCUSDT,69051.9,404611555.4285
2026-03-03T00:00:00+00:00,ETHUSDT,2034.52,332862707.67561
2026-03-03T00:00:00+00:00,SOLUSDT,86.85,104437279.7907
2026-03-03T01:00:00+00:00,BTCUSDT,68724.6,332976720.3731
2026-03-03T01:00:00+00:00,ETHUSDT,2018.87,301468985.32083
